,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,system_attrs
,,,,,,lambda1_dim1,lambda1_dim2,lambda2_dim1,lambda2_dim2,learning_rate,_number
9,9,TrialState.COMPLETE,0.6199831366539001,2019-08-15 13:48:16.058455,2019-08-15 13:50:46.885617,0.006023550086325565,0.00022409296930896855,0.05,0.5,0.0005056477463574603,9
10,10,TrialState.COMPLETE,0.43044313788414,2019-08-15 13:50:46.887285,2019-08-15 13:53:17.941241,1.0396633187355176e-06,0.0007252226612413246,0.7000000000000001,0.8,4.371490163871987e-06,10
11,11,TrialState.COMPLETE,0.4917355924844742,2019-08-15 13:53:17.943055,2019-08-15 13:55:53.624569,1.4488230446582807e-06,0.0007692272216122945,0.7000000000000001,0.9000000000000001,4.402988172542459e-06,11
12,12,TrialState.COMPLETE,0.5022217631340027,2019-08-15 13:55:53.626570,2019-08-15 13:58:26.417963,1.7446486389770756e-06,1.9256619296928128e-05,0.6500000000000001,0.8,4.860930622433476e-06,12
13,13,TrialState.COMPLETE,0.44872814416885376,2019-08-15 13:58:26.420039,2019-08-15 14:01:00.507317,2.306276500402982e-05,1.6153822594999563e-06,0.55,0.2,5.588264413136814e-06,13
14,14,TrialState.COMPLETE,0.6298740208148956,2019-08-15 14:01:00.509751,2019-08-15 14:03:29.948793,1.0543903059220097e-06,0.00043666142998232787,0.8500000000000001,0.8500000000000001,0.00017291762969728607,14
15,15,TrialState.COMPLETE,0.5287739038467407,2019-08-15 14:03:29.951387,2019-08-15 14:05:59.345618,3.626872366776878e-05,0.009576511118253455,0.8500000000000001,0.8,1.2860993903557657e-06,15
16,16,TrialState.COMPLETE,0.44783538579940796,2019-08-15 14:05:59.348348,2019-08-15 14:08:29.082291,4.008485906417847e-06,4.071722799708723e-05,0.8,0.7500000000000001,7.67216727048597e-06,16
17,17,TrialState.COMPLETE,0.46608807146549225,2019-08-15 14:08:29.084958,2019-08-15 14:10:58.524279,3.5723733472150166e-06,3.811350583124057e-05,0.8,0.7500000000000001,8.799759822682096e-06,17
18,18,TrialState.COMPLETE,0.48511412739753723,2019-08-15 14:10:58.527230,2019-08-15 14:13:28.119571,3.721881743687902e-06,4.459153364969592e-06,0.8,0.7000000000000001,2.7596207930301346e-06,18
19,19,TrialState.COMPLETE,0.41539742052555084,2019-08-15 14:13:28.122977,2019-08-15 14:15:58.649252,3.106769170301897e-05,0.00016205969909427074,1.0,0.6500000000000001,1.0041556864001984e-05,19
20,20,TrialState.COMPLETE,0.6038821637630463,2019-08-15 14:15:58.652390,2019-08-15 14:18:28.051994,5.61623029942218e-05,0.00024236798714885016,1.0,0.6500000000000001,0.00011647996446172672,20
21,21,TrialState.COMPLETE,0.5693760514259338,2019-08-15 14:18:28.055219,2019-08-15 14:20:58.686627,0.0003462627433308206,0.001105768862184938,1.0,0.6000000000000001,3.068059404152775e-06,21
22,22,TrialState.COMPLETE,0.4447280615568161,2019-08-15 14:20:58.690261,2019-08-15 14:23:38.787372,1.5234942933233397e-05,0.0004380677082308402,0.5,0.55,1.0156802765676257e-05,22
23,23,TrialState.COMPLETE,0.4780925065279007,2019-08-15 14:23:38.790866,2019-08-15 14:26:20.103592,0.0003082266706486361,0.00011720118965547788,0.7500000000000001,0.45,1.247125091456022e-05,23
24,24,TrialState.COMPLETE,0.5022677183151245,2019-08-15 14:26:20.107272,2019-08-15 14:28:45.506562,5.0513701732936335e-05,1.0275180038314353e-05,1.0,0.9500000000000001,2.713337375594233e-06,24
25,25,TrialState.COMPLETE,0.5009249746799469,2019-08-15 14:28:45.510748,2019-08-15 14:31:11.397538,1.000885047628595e-05,0.0004442106882462444,0.45,0.4,1.0797926751040131e-06,25
26,26,TrialState.COMPLETE,0.6969224810600281,2019-08-15 14:31:11.401575,2019-08-15 14:33:37.636413,1.81017916285206e-06,0.0016939085344273262,1.0,0.9000000000000001,0.00011937774819111749,26
27,27,TrialState.COMPLETE,0.48474864661693573,2019-08-15 14:33:37.640488,2019-08-15 14:36:03.671593,0.00018984140692981949,6.671091407469937e-05,0.7500000000000001,0.3,2.8646196608338225e-05,27
28,28,TrialState.COMPLETE,0.48348379135131836,2019-08-15 14:36:03.675767,2019-08-15 14:38:29.768825,0.0005923142399240108,0.00023252220182786503,1.0,0.3,7.703511562257798e-05,28
