,number,state,value,datetime_start,datetime_complete,params,params,system_attrs
,,,,,,learning_rate,weight_decay,_number
109,109,TrialState.COMPLETE,0.43927253782749176,2019-07-17 20:52:07.876532,2019-07-17 20:53:28.941627,2.0514845576816388e-05,7.100168611824674e-05,109
110,110,TrialState.COMPLETE,0.3675398528575897,2019-07-17 20:53:28.951410,2019-07-17 20:54:50.382694,5.738323773331262e-05,5.403999141464585e-05,110
111,111,TrialState.COMPLETE,0.4495305120944977,2019-07-17 20:54:50.392410,2019-07-17 20:56:11.585647,6.594131666152038e-06,0.0005340309976034322,111
112,112,TrialState.COMPLETE,0.426264226436615,2019-07-17 20:56:11.595511,2019-07-17 20:57:32.600014,7.056768047087044e-05,1.034410150187817e-05,112
113,113,TrialState.COMPLETE,0.41128769516944885,2019-07-17 20:57:32.616452,2019-07-17 20:58:53.612920,3.437301270436582e-05,2.3341844531435743e-05,113
114,114,TrialState.COMPLETE,0.46471142768859863,2019-07-17 20:58:53.623153,2019-07-17 21:00:15.097552,2.6642103150311897e-05,8.13390367855754e-06,114
115,115,TrialState.COMPLETE,0.3470802754163742,2019-07-17 21:00:15.108343,2019-07-17 21:01:36.090871,0.0003291129324623231,8.150148703850505e-07,115
116,116,TrialState.COMPLETE,0.5291479825973511,2019-07-17 21:01:36.100969,2019-07-17 21:02:57.546683,2.06971418054555e-06,8.209275441171072e-07,116
117,117,TrialState.COMPLETE,0.49814434349536896,2019-07-17 21:02:57.556831,2019-07-17 21:04:19.246840,4.525779210399416e-06,5.182440970181836e-07,117
118,118,TrialState.COMPLETE,0.4469003826379776,2019-07-17 21:04:19.257183,2019-07-17 21:05:40.633416,1.0255826930392257e-05,2.609462044657168e-07,118
119,119,TrialState.COMPLETE,0.4909757673740387,2019-07-17 21:05:40.644911,2019-07-17 21:07:01.670359,3.8383680570745525e-06,1.0633992285625271e-07,119
120,120,TrialState.COMPLETE,0.3735138028860092,2019-07-17 21:07:01.680864,2019-07-17 21:08:23.221864,0.0009476527485599654,1.317370831868345e-07,120
121,121,TrialState.COMPLETE,0.43408632278442383,2019-07-17 21:08:23.232462,2019-07-17 21:09:44.218093,1.3701167331996424e-05,0.00020785877889470286,121
122,122,TrialState.COMPLETE,0.48719535768032074,2019-07-17 21:09:44.228816,2019-07-17 21:11:05.177526,1.7311753919903494e-05,1.5404354572341556e-06,122
123,123,TrialState.COMPLETE,0.4551214128732681,2019-07-17 21:11:05.188443,2019-07-17 21:12:26.650534,0.0003361461526194876,5.917312165670757e-06,123
124,124,TrialState.COMPLETE,0.46077412366867065,2019-07-17 21:12:26.661430,2019-07-17 21:13:48.090032,0.0004143753077165705,3.991411769275564e-07,124
125,125,TrialState.COMPLETE,0.4860124886035919,2019-07-17 21:13:48.101857,2019-07-17 21:15:09.813349,2.648728527227557e-06,2.8073159950586014e-05,125
126,126,TrialState.COMPLETE,0.3788323402404785,2019-07-17 21:15:09.824383,2019-07-17 21:16:30.861681,9.457344633025661e-05,8.730901013594937e-05,126
127,127,TrialState.COMPLETE,0.4282961040735245,2019-07-17 21:16:30.872703,2019-07-17 21:17:51.842406,2.3814385489857455e-05,2.020796241893026e-05,127
128,128,TrialState.COMPLETE,0.4719965010881424,2019-07-17 21:17:51.853827,2019-07-17 21:19:13.039138,8.729665041177563e-06,0.0007619026201121771,128
129,129,TrialState.COMPLETE,0.3616100549697876,2019-07-17 21:19:13.050430,2019-07-17 21:20:33.660505,0.0004968532637639152,2.8764910849436673e-06,129
130,130,TrialState.COMPLETE,0.4475307911634445,2019-07-17 21:20:33.671889,2019-07-17 21:21:54.620587,0.00020801893221422102,3.581152663526213e-05,130
131,131,TrialState.COMPLETE,0.5745531320571899,2019-07-17 21:21:54.632071,2019-07-17 21:23:15.849700,1.3881672854984057e-06,0.000289300934159469,131
132,132,TrialState.COMPLETE,0.4346891939640045,2019-07-17 21:23:15.861177,2019-07-17 21:24:37.334914,0.00025457911298108933,4.529563009791998e-05,132
133,133,TrialState.COMPLETE,0.3742787092924118,2019-07-17 21:24:37.346575,2019-07-17 21:25:59.267688,4.971383858570213e-05,1.2426255798062561e-05,133
134,134,TrialState.COMPLETE,0.41563813388347626,2019-07-17 21:25:59.279383,2019-07-17 21:27:20.708562,0.00011472770224024728,2.1988627448683686e-06,134
135,135,TrialState.COMPLETE,0.5375083088874817,2019-07-17 21:27:20.720435,2019-07-17 21:28:42.378877,5.384603432542807e-06,1.599815063399251e-05,135
136,136,TrialState.COMPLETE,0.5181213021278381,2019-07-17 21:28:42.390759,2019-07-17 21:30:03.542759,1.0596647594932217e-06,9.567228936586715e-07,136
137,137,TrialState.COMPLETE,0.410561203956604,2019-07-17 21:30:03.554720,2019-07-17 21:31:25.443250,0.0005916582330904118,0.00015415877483215286,137
138,138,TrialState.COMPLETE,0.393658846616745,2019-07-17 21:31:25.455188,2019-07-17 21:32:47.365249,0.000186525595596272,6.289938479359145e-05,138
139,139,TrialState.COMPLETE,0.3985868990421295,2019-07-17 21:32:47.377412,2019-07-17 21:34:09.106880,0.00014376475199501677,0.00012002280894165625,139
140,140,TrialState.COMPLETE,0.528013288974762,2019-07-17 21:34:09.119158,2019-07-17 21:35:30.528221,0.0007444778836913086,4.883333681157143e-06,140
141,141,TrialState.COMPLETE,0.5098524987697601,2019-07-17 21:35:30.540446,2019-07-17 21:36:52.336013,6.526740432966462e-06,1.3506398983760262e-06,141
142,142,TrialState.COMPLETE,0.495006799697876,2019-07-17 21:36:52.348960,2019-07-17 21:38:13.533794,1.9863856365796506e-06,2.2746912682503708e-07,142
143,143,TrialState.COMPLETE,0.4733632504940033,2019-07-17 21:38:13.546296,2019-07-17 21:39:34.762693,2.9799296910172925e-05,6.972757263580347e-06,143
144,144,TrialState.COMPLETE,0.48859281837940216,2019-07-17 21:39:34.775228,2019-07-17 21:40:56.135802,1.1839403083067888e-05,2.9899803487153388e-05,144
145,145,TrialState.COMPLETE,0.3442174047231674,2019-07-17 21:40:56.148503,2019-07-17 21:42:17.197531,0.00029617162851492903,3.19934585542608e-06,145
146,146,TrialState.COMPLETE,0.42536674439907074,2019-07-17 21:42:17.210280,2019-07-17 21:43:38.457700,0.00030863265730283904,7.258840104286495e-07,146
147,147,TrialState.COMPLETE,0.41105854511260986,2019-07-17 21:43:38.471050,2019-07-17 21:45:00.380707,7.924252688286267e-05,3.4980852188573485e-06,147
148,148,TrialState.COMPLETE,0.49405884742736816,2019-07-17 21:45:00.393582,2019-07-17 21:46:21.999820,0.0009024508923132666,4.388078733646443e-07,148
149,149,TrialState.COMPLETE,0.4094579517841339,2019-07-17 21:46:22.013041,2019-07-17 21:47:43.645003,0.00022478751853051565,1.0031526278640798e-05,149
150,150,TrialState.COMPLETE,0.4084358513355255,2019-07-17 21:47:43.658064,2019-07-17 21:49:04.867413,4.445958039860367e-05,1.0491614849907735e-06,150
151,151,TrialState.COMPLETE,0.4196073114871979,2019-07-17 21:49:04.880596,2019-07-17 21:50:25.973265,0.00036955535107187685,1.615812716366049e-06,151
152,152,TrialState.COMPLETE,0.4916827827692032,2019-07-17 21:50:25.987396,2019-07-17 21:51:47.684944,0.0006826750177643333,3.1680480534976335e-07,152
153,153,TrialState.COMPLETE,0.37470750510692596,2019-07-17 21:51:47.701006,2019-07-17 21:53:09.084342,0.0001037085142729536,1.6780586501200185e-07,153
154,154,TrialState.COMPLETE,0.4103517681360245,2019-07-17 21:53:09.097723,2019-07-17 21:54:30.442000,0.0004940043981213854,5.595446429224074e-07,154
155,155,TrialState.COMPLETE,0.44248059391975403,2019-07-17 21:54:30.455846,2019-07-17 21:55:52.098455,0.00015906990722740455,8.622931396994097e-06,155
156,156,TrialState.COMPLETE,0.4219818413257599,2019-07-17 21:55:52.112174,2019-07-17 21:57:13.459817,6.15399298736158e-05,1.9612339192316845e-06,156
157,157,TrialState.COMPLETE,0.4094252288341522,2019-07-17 21:57:13.473563,2019-07-17 21:58:34.569614,3.643279215228841e-05,3.1188059997700016e-06,157
158,158,TrialState.COMPLETE,0.38543257117271423,2019-07-17 21:58:34.583581,2019-07-17 21:59:55.733168,0.00025717101785496604,2.4407206257686535e-06,158
159,159,TrialState.COMPLETE,0.37107032537460327,2019-07-17 21:59:55.747119,2019-07-17 22:01:17.115105,0.00013041802657220755,4.205163501469702e-06,159
160,160,TrialState.COMPLETE,0.40855103731155396,2019-07-17 22:01:17.129028,2019-07-17 22:02:38.280824,0.0001786960322194381,1.1038270651557225e-06,160
161,161,TrialState.COMPLETE,0.40088488161563873,2019-07-17 22:02:38.295149,2019-07-17 22:03:59.333963,8.670623076518176e-05,7.610719234396773e-07,161
162,162,TrialState.COMPLETE,0.48995184898376465,2019-07-17 22:03:59.348507,2019-07-17 22:05:21.049392,1.983973714081231e-05,5.973024012808664e-06,162
163,163,TrialState.COMPLETE,0.4002548158168793,2019-07-17 22:05:21.063618,2019-07-17 22:06:41.838167,7.207219661542174e-05,1.7618208874599274e-05,163
