,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,system_attrs
,,,,,,lambda1_dim1,lambda1_dim2,lambda2_dim1,lambda2_dim2,learning_rate,_number
75,75,TrialState.COMPLETE,0.4007333815097809,2019-08-12 15:42:01.369187,2019-08-12 15:43:26.260399,0.0058967053964826726,0.0013950473944248584,0.35000000000000003,0.8500000000000001,0.0005931160292551674,75
76,76,TrialState.COMPLETE,0.3903365135192871,2019-08-12 15:43:26.271164,2019-08-12 15:44:53.172172,0.000322188886499565,0.0024229122480601945,0.35000000000000003,0.8500000000000001,0.0004725243163606116,76
77,77,TrialState.COMPLETE,0.5043195486068726,2019-08-12 15:44:53.182907,2019-08-12 15:46:20.837377,0.0003963601326679738,0.0020126427392945707,0.35000000000000003,0.5,0.00047349330104361735,77
78,78,TrialState.COMPLETE,0.4280809909105301,2019-08-12 15:46:20.849378,2019-08-12 15:47:49.762698,0.00020795321201973012,0.006690394315319121,0.35000000000000003,0.5,0.00033078981082774827,78
79,79,TrialState.COMPLETE,0.47473253309726715,2019-08-12 15:47:49.773982,2019-08-12 15:49:15.942509,0.00031719584840209016,0.0034676341555637275,0.35000000000000003,0.5,9.505812661965675e-05,79
80,80,TrialState.COMPLETE,0.41973161697387695,2019-08-12 15:49:15.953709,2019-08-12 15:50:45.198396,0.0006058809081880209,0.005521759295791754,0.35000000000000003,0.55,4.041238813489401e-05,80
81,81,TrialState.COMPLETE,0.37995415925979614,2019-08-12 15:50:45.209839,2019-08-12 15:52:14.489299,0.0010513328781245098,0.0008161662734005847,0.35000000000000003,0.5,0.00018773063743071668,81
82,82,TrialState.COMPLETE,0.4274527579545975,2019-08-12 15:52:14.501367,2019-08-12 15:53:41.614759,0.0008065038371214002,0.0003345123135494836,0.35000000000000003,0.8500000000000001,0.00019068797813075636,82
83,83,TrialState.COMPLETE,0.44450564682483673,2019-08-12 15:53:41.627255,2019-08-12 15:55:09.025140,0.0004969030735235492,0.0008542978113323984,0.35000000000000003,0.8500000000000001,0.00012269965805656967,83
84,84,TrialState.COMPLETE,0.4356711208820343,2019-08-12 15:55:09.036899,2019-08-12 15:56:35.782155,0.00014505919706496134,0.00042658674288774965,0.35000000000000003,0.8500000000000001,0.000152578851237089,84
85,85,TrialState.COMPLETE,0.4441577047109604,2019-08-12 15:56:35.795458,2019-08-12 15:58:00.790372,0.0010475901651613145,0.0006330704317635039,0.35000000000000003,0.8500000000000001,5.7850590418182874e-05,85
86,86,TrialState.COMPLETE,0.457728311419487,2019-08-12 15:58:00.802588,2019-08-12 15:59:28.613806,0.0015431795474587062,0.0013264135481397595,0.35000000000000003,0.8500000000000001,1.8148519080401485e-05,86
87,87,TrialState.COMPLETE,0.43057115375995636,2019-08-12 15:59:28.625861,2019-08-12 16:00:51.473826,0.002609601725346091,4.406761059652446e-05,0.35000000000000003,0.8500000000000001,0.0002209759721576492,87
88,88,TrialState.COMPLETE,0.4173971116542816,2019-08-12 16:00:51.486127,2019-08-12 16:02:14.259231,2.02201242501641e-05,0.00026190112704020473,0.35000000000000003,0.8500000000000001,3.4547622283058266e-05,88
89,89,TrialState.COMPLETE,0.45586493611335754,2019-08-12 16:02:14.271639,2019-08-12 16:03:36.266713,6.962423343740237e-05,7.169694126083712e-05,0.35000000000000003,0.8500000000000001,6.609705142191378e-05,89
90,90,TrialState.COMPLETE,0.4106975346803665,2019-08-12 16:03:36.279410,2019-08-12 16:04:58.936390,0.0001774424619657315,0.0001709291785956818,0.35000000000000003,0.8500000000000001,0.0008320597175867075,90
91,91,TrialState.COMPLETE,0.3979879468679428,2019-08-12 16:04:58.949090,2019-08-12 16:06:21.221141,0.004714148359965278,0.0001338371961615985,0.35000000000000003,0.8500000000000001,0.00018829639894888303,91
92,92,TrialState.COMPLETE,0.4437558352947235,2019-08-12 16:06:21.234178,2019-08-12 16:07:42.717848,0.0002665800243784468,1.2020881676773139e-06,0.35000000000000003,0.8500000000000001,9.140332393395143e-05,92
93,93,TrialState.COMPLETE,0.37358860671520233,2019-08-12 16:07:42.730798,2019-08-12 16:09:03.937648,3.950278632801139e-05,2.521156951017234e-05,0.35000000000000003,0.8500000000000001,0.00037177958652677477,93
94,94,TrialState.COMPLETE,0.4724356532096863,2019-08-12 16:09:03.950783,2019-08-12 16:10:26.293170,5.951767389669598e-06,2.1582747330295667e-05,0.35000000000000003,0.8,0.0003724594369964937,94
95,95,TrialState.COMPLETE,0.4440181106328964,2019-08-12 16:10:26.306507,2019-08-12 16:11:48.492977,1.1125862867576622e-05,1.649061492600441e-05,0.35000000000000003,0.8,1.1858756148508185e-05,95
96,96,TrialState.COMPLETE,0.41546663641929626,2019-08-12 16:11:48.506611,2019-08-12 16:13:11.632473,3.529078373588133e-06,2.8459300753290436e-06,0.35000000000000003,0.55,0.000615789533404155,96
97,97,TrialState.COMPLETE,0.4569717049598694,2019-08-12 16:13:11.645877,2019-08-12 16:14:34.895529,2.441129303683657e-06,1.9060349953482936e-06,0.35000000000000003,0.5,0.0003167477037581878,97
98,98,TrialState.COMPLETE,0.46368613839149475,2019-08-12 16:14:34.909151,2019-08-12 16:15:57.471150,4.1766765894417494e-05,2.7422343065990203e-05,0.35000000000000003,0.5,2.646913310577911e-05,98
